"ExternalId","Summary","IssueType","Priority","OwnerRole","SprintCode","DependsOnRaw","ParentExternalId","OriginalType","OriginalSP"
"MS-001","Initialize Next.js + TypeScript repo structure and CI hooks","Task","P0","Frontend Engineer","S1","","EPIC-00","Story","3"
"MS-002","Publish engineering standards and ADR workflow","Task","P0","Tech Lead / Backend Engineer","S1","MS-001","EPIC-00","Story","2"
"MS-003","Add observability baseline and error handling shell","Task","P1","Backend Engineer","S1","MS-001","EPIC-00","Story","3"
"MS-004","Define and enforce performance + accessibility budgets","Task","P1","QA/Automation + Design System Engineer","S1","MS-001","EPIC-00","Story","2"
"MS-101","Implement semantic design token system","Task","P0","Design System Engineer","S1","MS-001","EPIC-10","Story","5"
"MS-102","Build theme primitives with dark-ready token contract","Task","P0","Design System Engineer","S2","MS-101","EPIC-10","Story","3"
"MS-103","Write design-system governance and contribution workflow","Task","P0","Design System Engineer + Tech Lead","S1","MS-101","EPIC-10","Story","3"
"MS-111","Complete MVP component inventory audit from PRD","Task","P0","Design System Engineer + Frontend Engineer","S1","MS-101|MS-103","EPIC-11","Story","3"
"MS-112","Build atomic components set with typed APIs and stories","Task","P0","Design System Engineer + Frontend Engineer","S2","MS-102","EPIC-11","Story","8"
"MS-113","Build custom interaction primitives (no native browser widgets)","Task","P0","Design System Engineer + Frontend Engineer","S2","MS-112","EPIC-11","Story","8"
"MS-114","Build molecules and organisms required for MVP composition","Task","P1","Frontend Engineer","S2","MS-112|MS-113","EPIC-11","Story","5"
"MS-115","Build reusable templates for public and admin shells","Task","P1","Frontend Engineer","S2","MS-114","EPIC-11","Story","3"
"MS-201","Implement domain schema and reversible migrations","Task","P0","Backend Engineer","S2","MS-001","EPIC-20","Story","8"
"MS-202","Seed curated initial data set for 3-5 officials","Task","P0","Backend Engineer","S3","MS-201","EPIC-20","Story","3"
"MS-203","Enforce append-only status history and audit trail integrity","Task","P0","Backend Engineer","S3","MS-201","EPIC-20","Story","5"
"MS-211","Implement scoring service and snapshot writer","Task","P0","Backend Engineer","S3","MS-202|MS-203","EPIC-21","Story","5"
"MS-212","Add time-aware trend indicator (on_track/watch/behind)","Task","P1","Backend Engineer","S3","MS-211","EPIC-21","Story","3"
"MS-301","Deliver search API with filters and pagination","Task","P0","Backend Engineer","S3","MS-202","EPIC-30","Story","5"
"MS-302","Deliver official profile aggregate API","Task","P0","Backend Engineer","S3","MS-202|MS-211|MS-212","EPIC-30","Story","5"
"MS-303","Deliver official promises list API with filters and sort","Task","P0","Backend Engineer","S4","MS-202|MS-203|MS-301","EPIC-30","Story","5"
"MS-304","Deliver promise detail API with timeline and provenance","Task","P0","Backend Engineer","S4","MS-203|MS-301","EPIC-30","Story","5"
"MS-305","Deliver score history API for chart consumption","Task","P1","Backend Engineer","S4","MS-211|MS-212","EPIC-30","Story","3"
"MS-311","Implement RBAC middleware and admin auth session integration","Task","P0","Backend Engineer","S5","MS-001|MS-201","EPIC-31","Story","5"
"MS-312","Deliver admin CRUD APIs for officials/promises/evidence events","Task","P0","Backend Engineer","S5","MS-311|MS-201","EPIC-31","Story","5"
"MS-313","Deliver status update API with mandatory rationale and source linkage","Task","P0","Backend Engineer","S5","MS-311|MS-203","EPIC-31","Story","3"
"MS-314","Deliver admin audit query API","Task","P1","Backend Engineer","S5","MS-311|MS-203","EPIC-31","Story","2"
"MS-401","Build public search and browse page from shared components","Task","P0","Frontend Engineer","S4","MS-114|MS-115|MS-301|MS-303","EPIC-40","Story","5"
"MS-402","Build official profile page from shared templates and organisms","Task","P0","Frontend Engineer","S4","MS-115|MS-302|MS-303","EPIC-40","Story","5"
"MS-403","Build promise detail page","Task","P1","Frontend Engineer","S5","MS-115|MS-304","EPIC-40","Story","5"
"MS-404","Build score explainability panel","Task","P1","Frontend Engineer","S4","MS-302|MS-305","EPIC-40","Story","3"
"MS-411","Build admin dashboard shell and protected navigation","Task","P0","Frontend Engineer","S5","MS-115|MS-311","EPIC-41","Story","5"
"MS-412","Build official and promise editor forms using custom field components","Task","P0","Frontend Engineer","S5","MS-312|MS-113|MS-114|MS-411","EPIC-41","Story","5"
"MS-413","Build status update workflow with evidence attachment","Task","P0","Frontend Engineer","S5","MS-313|MS-412","EPIC-41","Story","5"
"MS-414","Build audit log viewer for admin users","Task","P1","Frontend Engineer","S5","MS-314|MS-411","EPIC-41","Story","3"
"MS-501","Implement CDN + API cache strategy for public read paths","Task","P0","Backend Engineer + DevOps/SRE","S6","MS-301|MS-302|MS-303|MS-304|MS-305","EPIC-50","Story","3"
"MS-502","Tune DB indexes and query plans for key search/profile paths","Task","P0","Backend Engineer","S6","MS-501","EPIC-50","Story","3"
"MS-503","Run WCAG 2.1 AA audit and remediate critical/high accessibility issues","Task","P0","Frontend Engineer + Design System Engineer + QA","S6","MS-401|MS-402|MS-412|MS-413|MS-414","EPIC-50","Story","5"
"MS-504","Execute backup/restore and disaster recovery rehearsal","Task","P0","DevOps/SRE + Backend Engineer","S6","MS-201","EPIC-50","Story","3"
"MS-511","Finalize production environment configuration and secrets policy","Task","P0","DevOps/SRE","S6","","EPIC-51","Story","2"
"MS-512","Create launch checklist and operational runbook","Task","P0","Tech Lead/PM + DevOps/SRE","S6","MS-501|MS-502|MS-503|MS-504|MS-511","EPIC-51","Story","2"
"MS-513","Produce UAT signoff package mapped to PRD requirements","Task","P1","QA/Automation + PM","S6","MS-501|MS-502|MS-503|MS-504|MS-512","EPIC-51","Story","2"
